"","estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno","maxVotos","ganhou","estados_sigla","uf","regiao"
"1","Rondônia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",345167,0.33,"Presidente",2014,"Turno 1",371692,FALSE,"RO","RO","Norte"
"2","Acre","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",111610,0.11,"Presidente",2014,"Turno 1",116015,FALSE,"AC","AC","Norte"
"3","Amazonas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",915030,0.88,"Presidente",2014,"Turno 1",915030,TRUE,"AM","AM","Norte"
"4","Roraima","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",82857,0.08,"Presidente",2014,"Turno 1",108903,FALSE,"RR","RR","Norte"
"5","Pará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2040696,1.97,"Presidente",2014,"Turno 1",2040696,TRUE,"PA","PA","Norte"
"6","Amapá","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",198939,0.19,"Presidente",2014,"Turno 1",198939,TRUE,"AP","AP","Norte"
"7","Tocantins","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",368348,0.35,"Presidente",2014,"Turno 1",368348,TRUE,"TO","TO","Norte"
"8","Maranhão","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2187668,2.11,"Presidente",2014,"Turno 1",2187668,TRUE,"MA","MA","Nordeste"
"9","Piauí","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1235203,1.19,"Presidente",2014,"Turno 1",1235203,TRUE,"PI","PI","Nordeste"
"10","Ceará","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",3087115,2.97,"Presidente",2014,"Turno 1",3087115,TRUE,"CE","CE","Nordeste"
"11","R. G. do Norte","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",999452,0.96,"Presidente",2014,"Turno 1",999452,TRUE,"RN","RN","Nordeste"
"12","Paraíba","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1166632,1.12,"Presidente",2014,"Turno 1",1166632,TRUE,"PB","PB","Nordeste"
"13","Pernambuco","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2126491,2.05,"Presidente",2014,"Turno 1",2126491,TRUE,"PE","PE","Nordeste"
"14","Alagoas","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",703674,0.68,"Presidente",2014,"Turno 1",703674,TRUE,"AL","AL","Nordeste"
"15","Sergipe","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",601578,0.58,"Presidente",2014,"Turno 1",601578,TRUE,"SE","SE","Nordeste"
"16","Bahia","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4292325,4.14,"Presidente",2014,"Turno 1",4292325,TRUE,"BA","BA","Nordeste"
"17","Minas Gerais","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",4829513,4.65,"Presidente",2014,"Turno 1",4829513,TRUE,"MG","MG","Sudeste"
"18","Espírito Santo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",653469,0.63,"Presidente",2014,"Turno 1",692952,FALSE,"ES","ES","Sudeste"
"19","Rio de Janeiro","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2970486,2.86,"Presidente",2014,"Turno 1",2970486,TRUE,"RJ","RJ","Sudeste"
"20","São Paulo","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",5927503,5.71,"Presidente",2014,"Turno 1",10152688,FALSE,"SP","SP","Sudeste"
"21","Paraná","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1972761,1.9,"Presidente",2014,"Turno 1",3018548,FALSE,"PR","PR","Sul"
"22","Santa Catarina","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1140432,1.1,"Presidente",2014,"Turno 1",1961224,FALSE,"SC","SC","Sul"
"23","R. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",2751098,2.65,"Presidente",2014,"Turno 1",2751098,TRUE,"RS","RS","Sul"
"24","M. G. do Sul","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",506951,0.49,"Presidente",2014,"Turno 1",558331,FALSE,"MS","MS","Centro-Oeste"
"25","Mato Grosso","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",616265,0.59,"Presidente",2014,"Turno 1",693251,FALSE,"MT","MT","Centro-Oeste"
"26","Goiás","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",1035673,1,"Presidente",2014,"Turno 1",1340441,FALSE,"GO","GO","Centro-Oeste"
"27","Distrito Federal","Dilma Rousseff","PT","PT PT PMDB PSD PP PR PROS PDT PC B PRB",362511,0.35,"Presidente",2014,"Turno 1",568371,FALSE,"DF","DF","DF"
"28","Rondônia","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",371692,0.36,"Presidente",2014,"Turno 1",371692,TRUE,"RO","RO","Norte"
"29","Acre","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",116015,0.11,"Presidente",2014,"Turno 1",116015,TRUE,"AC","AC","Norte"
"30","Amazonas","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",325734,0.31,"Presidente",2014,"Turno 1",915030,FALSE,"AM","AM","Norte"
"31","Roraima","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",108903,0.1,"Presidente",2014,"Turno 1",108903,TRUE,"RR","RR","Norte"
"32","Pará","Aécio Neves","PSDB","PSDB PSDB PMN SD DEM PEN PTN PTB PTC PT B",1057860,1.02,"Presidente",2014,"Turno 1",2040696,FALSE,"PA","PA","Norte"
