"","estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno","estados_sigla","UF"
"1","Rondônia","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",75532,0.11,"Presidente",1989,"Turno 1","RO","RO"
"2","Acre","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",22954,0.03,"Presidente",1989,"Turno 1","AC","AC"
"3","Amazonas","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",125406,0.19,"Presidente",1989,"Turno 1","AM","AM"
"4","Roraima","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",5417,0.01,"Presidente",1989,"Turno 1","RR","RR"
"5","Pará","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",294981,0.44,"Presidente",1989,"Turno 1","PA","PA"
"6","Amapá","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",21026,0.03,"Presidente",1989,"Turno 1","AP","AP"
"7","Tocantins","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",27888,0.04,"Presidente",1989,"Turno 1","TO","TO"
"8","Maranhão","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",255586,0.38,"Presidente",1989,"Turno 1","MA","MA"
"9","Piauí","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",219406,0.32,"Presidente",1989,"Turno 1","PI","PI"
"10","Ceará","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",321526,0.48,"Presidente",1989,"Turno 1","CE","CE"
"11","R. G. do Norte","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",239010,0.35,"Presidente",1989,"Turno 1","RN","RN"
"12","Paraíba","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",313895,0.46,"Presidente",1989,"Turno 1","PB","PB"
"13","Pernambuco","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",950189,1.41,"Presidente",1989,"Turno 1","PE","PE"
"14","Alagoas","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",76227,0.11,"Presidente",1989,"Turno 1","AL","AL"
"15","Sergipe","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",108002,0.16,"Presidente",1989,"Turno 1","SE","SE"
"16","Bahia","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1050444,1.55,"Presidente",1989,"Turno 1","BA","BA"
"17","Minas Gerais","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",1792789,2.65,"Presidente",1989,"Turno 1","MG","MG"
"18","Espírito Santo","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",264983,0.39,"Presidente",1989,"Turno 1","ES","ES"
"19","Rio de Janeiro","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",904223,1.34,"Presidente",1989,"Turno 1","RJ","RJ"
"20","São Paulo","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",2921970,4.32,"Presidente",1989,"Turno 1","SP","SP"
"21","Paraná","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",353907,0.52,"Presidente",1989,"Turno 1","PR","PR"
"22","Santa Catarina","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",255015,0.38,"Presidente",1989,"Turno 1","SC","SC"
"23","R. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",350062,0.52,"Presidente",1989,"Turno 1","RS","RS"
"24","M. G. do Sul","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",73697,0.11,"Presidente",1989,"Turno 1","MS","MS"
"25","Mato Grosso","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",76700,0.11,"Presidente",1989,"Turno 1","MT","MT"
"26","Goiás","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",298261,0.44,"Presidente",1989,"Turno 1","GO","GO"
"27","Distrito Federal","Luiz Inácio Lula da Silva","PT","PT PSB PCdoB",220720,0.33,"Presidente",1989,"Turno 1","DF","DF"
