"","turno","regiao","nome","totalVotos","totalPorcentagem"
"1","Turno 1","Centro-Oeste","Aécio Neves",2592023,2.5
"2","Turno 1","Centro-Oeste","Dilma Rousseff",2158889,2.08
"3","Turno 1","Distrito Federal","Aécio Neves",3507686,3.38
"4","Turno 1","Distrito Federal","Dilma Rousseff",3986466,3.84
"5","Turno 1","Nordeste","Aécio Neves",4226011,4.06
"6","Turno 1","Nordeste","Dilma Rousseff",16400138,15.8
"7","Turno 1","Norte","Aécio Neves",2282132,2.2
"8","Turno 1","Norte","Dilma Rousseff",4062647,3.91
"9","Turno 1","Sudeste","Aécio Neves",14567140,14.03
"10","Turno 1","Sudeste","Dilma Rousseff",10757016,10.36
"11","Turno 1","Sul","Aécio Neves",7617010,7.34
"12","Turno 1","Sul","Dilma Rousseff",5864291,5.65
"13","Turno 2","Centro-Oeste","Aécio Neves",3445319,3.27
"14","Turno 2","Centro-Oeste","Dilma Rousseff",2673723,2.54
"15","Turno 2","Distrito Federal","Aécio Neves",5688430,5.4
"16","Turno 2","Distrito Federal","Dilma Rousseff",5980670,5.68
"17","Turno 2","Nordeste","Aécio Neves",7967846,7.55
"18","Turno 2","Nordeste","Dilma Rousseff",20176579,19.13
"19","Turno 2","Norte","Aécio Neves",3376148,3.21
"20","Turno 2","Norte","Dilma Rousseff",4393301,4.18
"21","Turno 2","Sudeste","Aécio Neves",20725110,19.67
"22","Turno 2","Sudeste","Dilma Rousseff",14467805,13.74
"23","Turno 2","Sul","Aécio Neves",9686559,9.19
"24","Turno 2","Sul","Dilma Rousseff",6759908,6.43
